ALB01,16
ALB02,2
ALB03,4
ALB04,0
ALB05,6
ALB06,4
ALB07,3
ALB08,2
ARM01,9
ARM02,39
ARM03,31
ARM04,10
ARM05,20
ARM06,2
ARM07,21
ARM08,0
AUS01,42
AUS02,36
AUS03,25
AUS04,30
AUS05,19
AUS06,47
AUS07,42
AUS08,48
AUT01,8
AUT02,12
AUT03,16
AUT04,11
AUT05,12
AUT06,16
AUT07,14
AUT08,28
AZE01,36
AZE02,29
AZE03,28
AZE04,27
AZE05,29
AZE06,20
AZE07,25
AZE08,24
BEL01,23
BEL02,8
BEL03,35
BEL04,40
BEL05,22
BEL06,23
BEL07,27
BEL08,15
BGD01,39
BGD02,29
BGD03,25
BGD04,33
BGD05,13
BGD06,8
BGD07,15
BGD08,2
BGR01,36
BGR02,41
BGR03,42
BGR04,38
BGR05,36
BGR06,22
BGR07,29
BRA01,13
BRA02,43
BRA03,35
BRA04,35
BRA05,6
BRA06,31
BRA07,34
BRA08,42
CAN01,35
CAN02,42
CAN03,42
CAN04,23
CAN05,4
CAN06,49
CAN07,49
CAN08,42
CHN01,48
CHN02,48
CHN03,54
CHN04,49
CHN05,49
CHN06,48
COL01,40
COL02,36
COL03,23
COL04,29
COL05,37
COL06,22
COL07,16
COL08,2
CRI01,0
CRI02,11
CRI03,16
CRI04,10
CRI05,2
CRI06,5
CRI07,14
CYP01,22
CYP02,10
CYP03,1
CYP04,22
CYP05,8
CYP06,3
CYP07,1
CYP08,3
CZE01,42
CZE02,25
CZE03,18
CZE04,27
CZE05,21
CZE06,36
CZE07,16
CZE08,26
ECU01,33
ECU02,7
ECU03,2
ECU04,5
ECU05,8
ECU06,9
ECU07,1
ECU08,6
EST01,39
EST02,7
EST03,21
EST04,24
FIN01,30
FIN02,30
FIN03,12
FIN04,17
FIN05,3
FIN06,11
FIN07,16
FIN08,24
FRA01,31
FRA02,39
FRA03,30
FRA04,38
FRA05,32
FRA06,42
FRA07,30
FRA08,22
GER01,40
GER02,42
GER03,34
GER04,20
GER05,28
GHA01,20
GHA02,7
GHA03,1
GHA04,4
GHA05,2
GHA06,1
GTM01,4
GTM02,8
GTM03,7
GTM04,7
GTM05,5
GTM06,2
GTM07,0
GTM08,2
HEL01,24
HEL02,40
HEL03,21
HEL04,15
HEL05,29
HEL06,17
HEL07,3
HEL08,8
HKG01,28
HKG02,29
HKG03,35
HKG04,37
HKG05,11
HKG06,5
HKG07,21
HKG08,33
HND01,2
HND02,3
HND03,6
HND04,11
HND05,9
HND06,10
HND07,3
HND08,0
HRV01,31
HRV02,37
HRV03,36
HRV04,29
HRV05,30
HRV06,21
HRV07,21
HRV08,14
HUN01,30
HUN02,35
HUN03,35
HUN04,42
HUN05,19
HUN06,37
HUN07,23
HUN08,42
IRN01,28
IRN02,27
IRN03,37
IRN04,32
IRN05,28
IRN06,35
ITA01,42
ITA02,48
ITA03,34
ITA04,18
ITA05,42
ITA06,12
ITA07,40
ITA08,44
KAZ01,40
KAZ02,29
KAZ03,36
KAZ04,42
KAZ05,38
KAZ06,21
KAZ07,33
KAZ08,4
KEN01,0
KEN02,1
KEN03,3
KEN04,2
KEN05,0
KEN07,0
KEN08,1
KGZ01,7
KGZ03,14
KGZ04,15
KGZ05,8
KGZ06,1
KGZ08,0
KOR01,48
KOR02,39
KOR03,35
